ticker symbol;isin;security name;currency;note;
;HU0000702345;"K&H Kötvény Nyíltvégű Befektetési Alap ""normál"" sorozat";HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702345.json
;HU0000702709;MBH Hazai Hosszú Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702709.json
;HU0000720628;MBH Hazai Hosszú Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000720628.json
;HU0000702865;OTP Maxima Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702865.json
;HU0000713904;OTP Maxima Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000713904.json
;HU0000725148;OTP Meta Globális Kötvény Alap I sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000725148.json
;HU0000724604;OTP Meta Globális Kötvény Alap A sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724604.json
;HU0000718259;Raiffeisen Hazai Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718259.json
;HU0000722848;Raiffeisen Hazai Kötvény Alap Q sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000722848.json
;HU0000702782;Raiffeisen Hazai Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702782.json
;HU0000708854;Raiffeisen Hazai Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000708854.json
;HU0000732177;VIG GreenBond Fund EUR-I sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732177.json
;HU0000733332;VIG GreenBond Fund USD-I sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000733332.json
;HU0000732144;VIG GreenBond Fund CZKh-R sorozat;CZK;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732144.json
;HU0000732136;VIG GreenBond Fund HUF-R sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732136.json
;HU0000710942;VIG Lengyel Kötvény Befektetési Alap I sorozat;PLN;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000710942.json
;HU0000705256;VIG Lengyel Kötvény Befektetési Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000705256.json
;HU0000713565;VIG Lengyel Kötvény Befektetési Alap P sorozat;PLN;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000713565.json
;HU0000718127;VIG Magyar Kötvény Befektetési Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718127.json
;HU0000702493;VIG Magyar Kötvény Befektetési Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702493.json
;HU0000722673;Amundi Rugalmas Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000722673.json
;HU0000734876;Amundi Rugalmas Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000734876.json
;HU0000722681;Amundi Rugalmas Kötvény Alap Z sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000722681.json
;HU0000722459;Amundi Rugalmas Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000722459.json
